[2025-05-25 11:46:45,346] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,435] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,508] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,595] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,663] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,752] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,835] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,908] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:45,995] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,078] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,161] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,235] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,318] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,395] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,558] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,625] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,698] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,784] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,858] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:46,931] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,019] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,111] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,180] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,274] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,334] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,424] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,497] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,583] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,652] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,716] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,789] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,863] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:47,931] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,019] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,098] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,179] [ERROR] Error Insert to DB read of closed file
[2025-05-25 11:46:48,263] [ERROR] Error Insert to DB read of closed file
